add 000000std00000100000
addu 000000std00000100001
and 000000std00000100100
nor 000000std00000100111
or 000000std00000100101
slt 000000std00000101010
sltu 000000std00000101011
sub 000000std00000100010
subu 000000std00000100011
xor 000000std00000100110
mul 011100std00000000010 
div 000000st0000000000011010
divu 000000st0000000000011011
mult 000000st0000000000011000
multu 000000st0000000000011001
sll 00000000000tda000000
sra 00000000000tda000011
srl 00000000000tda000010
nop 00000000000000000000000000000000
syscall 00000000000000000000000000001100
addi 001000st*
addiu 001001st*
andi 001100st*
ori 001101st*
slti 001010st* 
sltiu 001011st*
xori 001110st*
